"","logFC","logCPM","LR","PValue","FDR"
"Bra010106",4.58515086913874,4.71255908331139,337.410648472892,2.33771490966577e-75,5.40236924412569e-73
"Bra038175",8.08828568557205,3.46002906039001,336.382490503861,3.91482215446542e-75,8.96084149146875e-73
"Bra014820",7.49091559281917,3.52594400104233,334.069872782752,1.24847492101714e-74,2.83074021242697e-72
"Bra016314",-4.14773547547393,4.21870363445525,332.951456363786,2.18758408930462e-74,4.91368186937824e-72
"Bra002582",-9.44600872496472,3.37594873110387,332.59255162575,2.61898338170791e-74,5.82820801814517e-72
"Bra100413",9.42619630914002,3.46022234722514,332.069165415689,3.4050584443811e-74,7.50799767451884e-72
"Bra012397_Bra012398",6.54772933535384,5.58393161861066,330.980161605239,5.87905871037142e-74,1.28452088222788e-71
"Bra003086",7.67624013822905,3.70046859875328,330.387643007541,7.9133129552989e-74,1.71341048259147e-71
"Bra027613",4.3536089351429,5.12629359952901,325.96464253346,7.27293608798841e-73,1.56069416016708e-70
"Bra014948",4.6879360367648,4.69167866089914,325.447180885648,9.42796678895841e-73,2.0052367593436e-70
"Bra003848",-9.15715759203089,3.06518768585882,324.162273665615,1.79591556274147e-72,3.78623110832705e-70
"Bra032856",7.38498417849426,4.19912537276844,323.838456473268,2.11260171906594e-72,4.41515388835051e-70
"Bra033398",5.21924401846348,3.91466614308207,322.480476917376,4.17451549540036e-72,8.64916426003899e-70
"Bra014965",-3.55355009483277,4.39662599339733,322.31075426855,4.54542503324071e-72,9.33715771358181e-70
"Bra025136",9.21008668023261,3.26601817039108,320.68140228313,1.02914734197999e-71,2.0961463743345e-69
"Bra018029",-3.428476415848,4.85795851448457,319.180701379436,2.18455469102821e-71,4.41206617177917e-69
"Bra016375",-4.34284559207578,5.57425188234714,318.983190345438,2.41204542293543e-71,4.83092497456918e-69
"Bra038573",7.14384377505283,3.63898076914805,318.842565636552,2.58831369030172e-71,5.14111828369518e-69
"Bra025829",-10.8629742640453,4.89261763732807,316.667133685483,7.70696513179554e-71,1.51827213096372e-68
"Bra018070",8.2023586165078,3.55965315570402,316.431830319272,8.67239959893622e-71,1.69457278016937e-68
"Bra023131",-3.65403699766293,5.60481997028718,314.675151339257,2.09314149810064e-70,4.05698086817344e-68
"Bra015783",-2.97834513310301,5.48806919128812,313.731187043447,3.36067194797302e-70,6.46163116780668e-68
"Bra040969",-9.16360329585111,3.05437972874751,313.636031376991,3.52496142987252e-70,6.72372404806001e-68
"Bra034085",-4.03930803188762,3.99373159905615,312.162798326718,7.38038182591236e-70,1.39669367562187e-67
"Bra038342",-11.0794225563784,4.95983167962688,310.758409254552,1.49283215838674e-69,2.80302563239585e-67
"Bra008560",6.89233641967635,3.40847714268075,306.945533463685,1.01071832605379e-68,1.88307009677339e-66
"Bra035663",-8.90741353099028,2.79179921102384,304.728099300646,3.07400186716249e-68,5.68312006733717e-66
"Bra029138",5.5030686284281,4.08502330436456,302.369582574276,1.0035194405497e-67,1.84111345299019e-65
"Bra034598",9.15382220142034,3.21305073901219,300.12819781895,3.0891671154154e-67,5.62462442817377e-65
"Bra021797",-5.59198696006213,5.17362026962891,298.683778854526,6.37578544365353e-67,1.15214757408097e-64
"Bra027541",8.46868880636442,3.8074972672788,297.117043892509,1.3992018232084e-66,2.50958332977543e-64
"Bra034161",-8.38180721261949,3.40316318930646,295.58221918349,3.02190271147067e-66,5.37988220499897e-64
"Bra000514",-9.47485742337199,3.35010308687332,294.794842387587,4.48572380692991e-66,7.92719749821716e-64
"Bra036336",9.1972984911936,3.25389876034014,293.694425135401,7.7909741039832e-66,1.36677570521994e-63
"Bra000759",7.91133762628329,3.28646244934552,292.52026167953,1.40417796539618e-65,2.44550820437186e-63
"Bra027019",3.51320138456667,6.47578878044896,292.100918204086,1.73296923216975e-65,2.99641600906243e-63
"Bra033118",7.45609881558732,3.50119403242084,291.703928963764,2.11489739605243e-65,3.61544154379303e-63
"Bra030969",-9.35760856855789,3.21310342826105,291.698122745545,2.12106706197394e-65,3.61544154379303e-63
"Bra038893",6.27625114688571,3.40737060034754,291.584308091819,2.24570708641086e-65,3.80093831794357e-63
"Bra033546",7.42409206090366,3.87930349454362,291.409157499334,2.45197576625681e-65,4.12103395567946e-63
"Bra017242",-8.8576226977925,2.76892826672319,290.068267387027,4.80486815723551e-65,8.01945842298599e-63
"Bra006511",5.66679995425559,4.44244972448055,289.242895320453,7.26981404702148e-65,1.20498421245596e-62
"Bra000592",-4.49090252297164,5.63794157968892,287.093935624863,2.13684127045428e-64,3.51759199274644e-62
"Bra034504",-3.78350302943272,5.69369558886105,284.581167642275,7.53891244131728e-64,1.23258654159605e-61
"Bra030526",6.96034967285265,3.48833271992761,282.53130671953,2.10857595875204e-63,3.42415639139503e-61
"Bra008251",3.86636282242985,4.48305143442847,282.496340540925,2.14589638749078e-63,3.46137407899016e-61
"Bra028860",5.83495745897343,4.27029477138015,282.417848554416,2.23209662136337e-63,3.57641401318981e-61
"Bra005918",-7.25795956481685,2.91491752092381,282.365754666435,2.29120956313845e-63,3.64681659870659e-61
"Bra035470",-4.75876187998754,5.32036864406875,281.169818816547,4.17517050877681e-63,6.60171368473302e-61
