"","logFC","logCPM","LR","PValue","FDR"
"Bra013115",2.63636986727337,5.47706672969839,21.4809595505801,3.57359418358326e-06,0.000787961124846238
"Bra035117",-2.19653842035167,5.3918766941693,21.4273626426688,3.67489114892204e-06,0.000802930307938113
"Bra027257",5.04132372298406,5.09508587125479,21.2528755228847,4.02506086102023e-06,0.000871516330934776
"Bra005743",2.74995632246118,2.30813882364283,21.2041356682012,4.12872653981751e-06,0.000885980479089053
"Bra005564",-1.72511631657617,5.5356355068323,21.1590964845149,4.22690170601005e-06,0.000899020846037572
"Bra006850",3.96632320558704,7.49753015624569,21.1283107894435,4.29535215662208e-06,0.000905565734493466
"Bra028478",2.35061126599504,6.30602277497335,20.9577241129096,4.6953089009593e-06,0.000981278731527441
"Bra019537",3.84235753543111,2.76268505367373,20.9373619434899,4.74548171513444e-06,0.000983214720185699
"Bra033331",1.8669970179443,4.35637706205831,20.7927485334134,5.11763684559279e-06,0.00105125883715365
"Bra017224",2.59667894685327,2.65056964175514,20.6673777695452,5.46390174272797e-06,0.00110997254033888
"Bra013678",-2.13488683724934,6.51856763020374,20.6562226167966,5.49582808938699e-06,0.00110997254033888
"Bra005033",7.81520088447564,2.26762531649696,20.5785823258875,5.72328455719928e-06,0.00114627850873106
"Bra024311",2.09804468142154,8.74921170468925,20.4847237099187,6.01090812323867e-06,0.00117879744786488
"Bra000090",2.76355898139036,5.98855770912496,20.4797825745085,6.0264457011949e-06,0.00117879744786488
"Bra027925",-2.00131999189736,6.57288210948903,20.4777685389984,6.0327904671457e-06,0.00117879744786488
"Bra009773",2.9715012066563,4.34062540626044,20.3469011748709,6.45976159303473e-06,0.00125204766231449
"Bra011249",-1.77947464155531,5.36156489067513,20.3057559180756,6.60017309266151e-06,0.00126902848087221
"Bra033980",2.38705455833766,5.26365985050934,20.1974582479053,6.98456790215195e-06,0.00132239641264255
"Bra018785",-3.95664494628854,2.52007121869558,20.1965782666148,6.98778165954915e-06,0.00132239641264255
"Bra033526",2.33302121454612,5.70086411246566,20.1806613326344,7.04616841552385e-06,0.0013230282163961
"Bra018311",-2.22740844558471,8.13460320882878,20.0823795480399,7.41769427970125e-06,0.0013819911962662
"Bra027681",6.95250855443333,1.64559502616249,20.0477255100003,7.55333153144677e-06,0.00139643669251378
"Bra033063",-2.7132037567703,2.73750444645033,20.0184607294389,7.66981243326268e-06,0.00140714711466439
"Bra028893",2.26437298954628,6.1190289570841,19.8575071718121,8.34344278934372e-06,0.00151151219253433
"Bra014225",5.75490009259684,1.21896284463016,19.8527008218358,8.36444710023575e-06,0.00151151219253433
"Bra001697",2.1906703345876,4.28481387243633,19.7905290662662,8.64097825477731e-06,0.0015498303833979
"Bra004491",-4.08445692619516,2.2448901297782,19.6564089504038,9.26918950577187e-06,0.00164790565036205
"Bra007904",-5.33571224473535,4.65365983800935,19.634104278094,9.37802393039468e-06,0.00164790565036205
"Bra003007",-3.53415598504823,8.44451608581016,19.6309562954379,9.39348731378882e-06,0.00164790565036205
"Bra016266",1.47514224904446,5.80075751053997,19.6074865777706,9.5095840490839e-06,0.00165489056239948
"Bra020301",-2.48060333773674,4.01033865751833,19.5951839147824,9.57101556850828e-06,0.00165489056239948
"Bra038585",-6.83307968877822,1.28744969696178,19.5222841315699,9.94329367041655e-06,0.00170697942910565
"Bra003699",9.44962346132141,2.68207491682024,19.4256512387093,1.04592778506671e-05,0.00178282470824776
"Bra020697",2.95540296628617,4.65105950110239,19.3729200082531,1.07520958231461e-05,0.00181983007755981
"Bra031737",2.51738459669479,4.18132678700247,19.2979947371873,1.11823728602661e-05,0.0018794206246408
"Bra101146",-2.59126975505847,3.34090125245325,19.0601732354774,1.26660748572202e-05,0.00211400307721131
"Bra000778",5.72043842153759,6.06447427740237,19.0323306105133,1.28522314107321e-05,0.00213027951534852
"Bra019179",3.68424852205362,5.59818145987242,18.9924495430079,1.31236742849114e-05,0.00214760693059886
"Bra023084",-1.91272754304475,9.00506582104918,18.9907333105885,1.31354838478003e-05,0.00214760693059886
"Bra102601",-2.03620244955723,4.27429152574741,18.9165759448595,1.36560929790437e-05,0.00221763877471849
"Bra021171",1.6751525544992,6.94048822404467,18.8262966300803,1.43179384611532e-05,0.00230951230184802
"Bra012890",-2.40515302923265,3.12705090044055,18.7985906465141,1.45274435960549e-05,0.0023276838625839
"Bra029589",1.84148508726568,7.57201420048771,18.7827086698043,1.46489242905848e-05,0.00233160428079414
"Bra031389",-2.18656708913734,10.1706716915144,18.7480885339723,1.49172803777106e-05,0.00235643350182979
"Bra026669",1.76829351785715,6.72530317406611,18.7374143905534,1.50010121402995e-05,0.00235643350182979
"Bra007279",-2.16942448437804,3.16440961536278,18.6900436475483,1.53783381937752e-05,0.00240001935161814
"Bra023526",3.04727178640907,4.13677706274255,18.6622110154175,1.56044667034014e-05,0.0024195984048358
"Bra036637",-3.2786499029106,2.85078886149794,18.5184308383129,1.68269223995953e-05,0.00259242469840945
"Bra010171",1.98839990887069,4.17766537112925,18.5001476919197,1.69891133893757e-05,0.00260074109044749
"Bra027717",2.02681164131118,4.93743116401015,18.4724822989812,1.7237525809103e-05,0.00262206769174672
"Bra019200",-3.56582099070439,2.81569863459913,18.3372364199936,1.85054576110699e-05,0.00279723376241795
"Bra009841",3.78826551604245,9.05747527543018,18.3115870054223,1.87562881346274e-05,0.00281742893142272
"Bra009711",1.81754135072634,4.71013653107806,18.2583714614811,1.92876408101089e-05,0.00287924943621216
"Bra024238",3.15367766856887,7.60231602045521,18.2343471360487,1.95324510042768e-05,0.00289779584837524
"Bra024074",2.37627814720093,4.87654270582136,18.1827045979675,2.00693129190897e-05,0.00295917709630308
"Bra032409",-1.38052451466261,4.6449032004104,18.1468634017988,2.0450599234301e-05,0.00299344971574962
"Bra005221",-2.04093472590183,7.61320015923261,18.1332873229306,2.05969174823173e-05,0.00299344971574962
"Bra016147",-1.56467397839279,6.33802466993064,18.1260448811653,2.06754037120095e-05,0.00299344971574962
"Bra037743",-2.33789329378173,4.51138619165377,18.087228737709,2.11012030286824e-05,0.00303680427300211
"Bra029875",-1.94266999310551,3.85533510400334,18.0309545169325,2.17342059709705e-05,0.00310928515658515
"Bra010360",2.66850009532362,2.96790155424353,17.8560857286827,2.38256087946999e-05,0.00338831172646045
"Bra016300",3.16843545185349,3.70770805539345,17.831967782193,2.41295053196501e-05,0.00341134429913218
"Bra018424",2.85820372337282,2.3481927259981,17.6848013913972,2.6070135134211e-05,0.00365411709930316
"Bra025383",-1.62992599244358,5.06449832047992,17.6668231972968,2.63177143657848e-05,0.00365411709930316
"Bra019095",-1.50912597966342,4.59357207841789,17.6592138270956,2.64232139807048e-05,0.00365411709930316
"Bra016683",2.96155645594446,4.10958403700889,17.6569364385185,2.64548712356973e-05,0.00365411709930316
"Bra016964",-1.53978382243279,5.25592593326655,17.6405015212928,2.66844605824359e-05,0.0036647675750758
"Bra017160",4.19929622878487,4.81367586977818,17.6195869232377,2.69795269085254e-05,0.00367985999400902
"Bra002189",2.32858317857111,7.35897650908416,17.6110733250443,2.71005749746025e-05,0.00367985999400902
"Bra029880",-2.88805874178243,3.17509205956288,17.5772167612952,2.75873795278859e-05,0.00372491617737759
"Bra013684",-2.4697035395393,5.02409872656126,17.5115565991804,2.85566604755942e-05,0.00383425015570074
"Bra033822",5.9268318437625,2.44621954943243,17.4840926252875,2.89721699321681e-05,0.00386842851194293
"Bra031841",-3.20913013860409,4.20863945844436,17.460862632641,2.93283620678871e-05,0.00389435278419668
"Bra038746",2.66930923225276,3.48040958125236,17.4209049657253,2.99513709946846e-05,0.00395522665102336
"Bra012218",3.59404531178928,4.3508382158001,17.3984285535757,3.03076443071399e-05,0.00398040395233771
"Bra023383",4.10519931341555,2.87340370089702,17.3816409164609,3.05765207694702e-05,0.00399389184876873
"Bra001819",-1.49904786145203,5.99952793904043,17.2639665681619,3.25297545967355e-05,0.00422605471339428
"Bra030429",-1.99404365605425,9.28907842947498,17.2035498291907,3.35808276461818e-05,0.00433914844972222
"Bra001774",3.25433763681065,6.97845495405377,17.1754414583167,3.40813997552347e-05,0.0043742472456777
"Bra020672",4.18070983138319,3.90527710821873,17.1597681336935,3.43637704210401e-05,0.0043742472456777
"Bra009854",2.24868145829421,6.91973222048176,17.1578512553067,3.43984658996873e-05,0.0043742472456777
"Bra023576",-2.00794012234962,3.8903759706473,17.1277290556721,3.49483245160009e-05,0.00442077911272403
"Bra027940",2.26918772147015,6.18136108214932,17.1035381051978,3.53963027183935e-05,0.00445400387190508
"Bra007886",-3.21905540032287,3.45777262041571,17.0573498526943,3.62677309299204e-05,0.00453988877692556
"Bra029387",-3.53656480752865,2.03370987218345,17.0407866852414,3.65854522787324e-05,0.00455593139931116
